order_id,payment_id,gross_amount,settled_amount,fee,tax,net_amount,sub_paise_drift,status,settled_at
ord_in_1002,pay_nested_test_99,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-09-03 17:11:20
ord_in_1003,pay_rzp_800003,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-02 18:39:00
ord_in_1004,pay_rzp_800004,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-02 20:52:00
ord_in_1005,pay_rzp_800005,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-02 22:05:00
ord_in_1006,pay_rzp_800006,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-03 00:18:00
ord_in_1007,pay_rzp_800007,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-03 02:31:00
ord_in_1008,pay_rzp_800008,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-03 04:44:00
ord_in_1009,pay_rzp_800009,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-03 06:57:00
ord_in_1010,pay_rzp_800010,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-03 08:10:00
ord_in_1011,pay_rzp_800011,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-03 10:23:00
ord_in_1012,pay_rzp_800012,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-03 12:36:00
ord_in_1013,pay_rzp_800013,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-03 14:49:00
ord_in_1014,pay_rzp_800014,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-03 16:02:00
ord_in_1015,pay_rzp_800015,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-03 18:15:00
ord_in_1016,pay_rzp_800016,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-03 20:28:00
ord_in_1017,pay_rzp_800017,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-03 22:41:00
ord_in_1018,pay_rzp_800018,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-04 00:54:00
ord_in_1019,pay_rzp_800019,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-04 02:07:00
ord_in_1020,pay_rzp_800020,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-04 04:20:00
ord_in_1021,pay_rzp_800021,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-04 06:33:00
ord_in_1022,pay_rzp_800022,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-04 08:46:00
ord_in_1023,pay_rzp_800023,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-04 10:59:00
ord_in_1024,pay_rzp_800024,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-04 12:12:00
ord_in_1025,pay_rzp_800025,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-04 14:25:00
ord_in_1026,pay_rzp_800026,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-04 16:38:00
ord_in_1027,pay_rzp_800027,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-04 18:51:00
ord_in_1028,pay_rzp_800028,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-04 20:04:00
ord_in_1029,pay_rzp_800029,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-04 22:17:00
ord_in_1030,pay_rzp_800030,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-05 00:30:00
ord_in_1031,pay_rzp_800031,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-05 02:43:00
ord_in_1032,pay_rzp_800032,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-05 04:56:00
ord_in_1033,pay_rzp_800033,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-05 06:09:00
ord_in_1034,pay_rzp_800034,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-05 08:22:00
ord_in_1035,pay_rzp_800035,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-05 10:35:00
ord_in_1036,pay_rzp_800036,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-05 12:48:00
ord_in_1037,pay_rzp_800037,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-05 14:01:00
ord_in_1038,pay_rzp_800038,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-05 16:14:00
ord_in_1039,pay_rzp_800039,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-05 18:27:00
ord_in_1040,pay_rzp_800040,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-05 20:40:00
ord_in_1041,pay_rzp_800041,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-05 22:53:00
ord_in_1043,pay_rzp_800043,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-06 02:19:00
ord_in_1044,pay_rzp_800044,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-06 04:32:00
ord_in_1045,pay_rzp_800045,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-06 06:45:00
ord_in_1046,pay_rzp_800046,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-06 08:58:00
ord_in_1047,pay_rzp_800047,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-06 10:11:00
ord_in_1048,pay_rzp_800048,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-06 12:24:00
ord_in_1049,pay_rzp_800049,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-06 14:37:00
ord_in_1050,pay_rzp_800050,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-06 16:50:00
ord_in_1051,pay_rzp_800051,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-06 18:03:00
ord_in_1052,pay_rzp_800052,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-06 20:16:00
ord_in_1053,pay_rzp_800053,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-06 22:29:00
ord_in_1054,pay_rzp_800054,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-07 00:42:00
ord_in_1055,pay_rzp_800055,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-07 02:55:00
ord_in_1056,pay_rzp_800056,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-07 04:08:00
ord_in_1057,pay_rzp_800057,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-07 06:21:00
ord_in_1058,pay_rzp_800058,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-07 08:34:00
ord_in_1059,pay_rzp_800059,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-07 10:47:00
ord_in_1060,pay_rzp_800060,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-07 12:00:00
ord_in_1061,pay_rzp_800061,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-07 14:13:00
ord_in_1062,pay_rzp_800062,1299.5,1299.5,25.99,4.68,1268.83,0.0018,MATCHED,2026-08-07 16:26:00
ord_in_1063,pay_rzp_800063,1599.0,1599.0,31.98,5.76,1561.26,0.0036,MATCHED,2026-08-07 18:39:00
ord_in_1064,pay_rzp_800064,2499.0,2499.0,49.98,9.0,2440.02,0.0036,MATCHED,2026-08-07 20:52:00
ord_in_1065,pay_rzp_800065,12500.0,12500.0,250.0,45.0,12205.0,0.0,MATCHED,2026-08-07 22:05:00
ord_in_1066,pay_rzp_800066,5490.0,5490.0,109.8,19.76,5360.44,-0.004,MATCHED,2026-08-08 00:18:00
ord_in_1067,pay_rzp_800067,899.0,899.0,17.98,3.24,877.78,0.0036,MATCHED,2026-08-08 02:31:00
ord_in_1068,pay_rzp_800068,999.0,999.0,19.98,3.6,975.42,0.0036,MATCHED,2026-08-08 04:44:00
ord_in_1069,pay_rzp_800069,1499.0,1499.0,29.98,5.4,1463.62,0.0036,MATCHED,2026-08-08 06:57:00
ord_in_1070,pay_rzp_800070,4500.0,4500.0,90.0,16.2,4393.8,0.0,MATCHED,2026-08-08 08:10:00
ord_in_1071,pay_rzp_800071,3999.0,3999.0,79.98,14.4,3904.62,0.0036,MATCHED,2026-08-08 10:23:00
ord_in_1072,pay_rzp_800072,499.0,499.0,9.98,1.8,487.22,0.0036,MATCHED,2026-08-08 12:36:00
ord_in_1073,pay_rzp_800073,7999.0,7999.0,159.98,28.8,7810.22,0.0036,MATCHED,2026-08-08 14:49:00
